"Production Type","2023 [MW]"
"Biomass","8584"
"Fossil Brown coal/Lignite","17692"
"Fossil Coal-derived gas","0"
"Fossil Gas","33215"
"Fossil Hard coal","18127"
"Fossil Oil","4083"
"Fossil Oil shale","0"
"Fossil Peat","0"
"Geothermal","51"
"Hydro Pumped Storage","9280"
"Hydro Run-of-river and poundage","3739"
"Hydro Water Reservoir","1444"
"Marine","0"
"Nuclear","4056"
"Other","1706"
"Other renewable","365"
"Solar","62579"
"Waste","1933"
"Wind Offshore","8129"
"Wind Onshore","57600"
"Total Grand capacity","232583"
